"","x"
"381","IGH or IGHA1 or IGHA2"
"382","PLXND1"
"383","FKBP5"
"384","FAM208A"
"385","AQP3"
"386","ABT1"
"387","FNTB"
"388","ARL6IP5"
"389","CEP164"
"390","ZNF84"
"391","APOB"
"392","CXXC1"
"393","LEPROTL1"
"394","SUPT20H"
"395","SH2D3C"
"396","SSH1"
"397","FDXACB1"
"398","LOC100133315"
"399","LAMC1"
"400","JARID2"
"401","MAN2B1"
"402","FBXO18"
"403","LYPLA1"
"404","SNRPN"
"405","GAN"
"406","IRS1"
"407","PHF10"
"408","CFDP1"
"409","CAMK2G or SRP72"
"410","LIN37"
"411","GTSF1L"
"412","FAHD1"
"413","LITAF"
"414","SDCBP2-AS1"
"415","CERS6"
"416","NCOA6"
"417","AEBP2"
"418","ALOX12B"
"419","TRPS1"
"420","TSFM"
"421","ARL17A or ARL17B"
"422","TUBB2A"
"423","ANKRD23 or ANKRD39"
"424","ZNF140"
"425","SNHG5 or SNORD50A or SNORD50B"
"426","SLC25A53"
"427","C12orf29"
"428","SENP3 or SENP3-EIF4A1"
"429","TMEM42"
"430","C11orf24"
"431","RABGGTB or SNORD45B or SNORD45A or SNORD45C"
"432","KLHL40"
"433","BEND3"
"434","FHOD1"
"435","PRDM10"
"436","MECP2"
"437","MKKS"
"438","TBC1D9"
"439","BOLA3"
"440","DIP2C"
"441","MED19"
"442","FLOT1"
"443","THG1L"
"444","ZNF311"
"445","RAD17"
"446","TM7SF3"
"447","FLJ38717"
"448","ABR"
"449","LRP10"
"450","NTN5"
"451","KLF16"
"452","ZMYM4"
"453","C11orf57"
"454","TAPT1-AS1"
"455","APEX2"
"456","CCNH"
"457","ZNF177 or ZNF559-ZNF177"
"458","GLTSCR1L"
"459","SRP72"
"460","NSD1"
"461","MDM1"
"462","RAB11FIP4"
"463","DDX56"
"464","TMEM260"
"465","UBE2A"
"466","TP53BP2"
"467","PLEC"
"468","DDR1 or MIR4640"
"469","LINC00491"
"470","SF3B5"
"471","HMCES"
"472","GMDS-AS1"
"473","FCN3"
"474","HADH"
"475","ZNF589"
"476","DEGS2"
"477","STRAP"
"478","LGALS8"
"479","PDSS2"
"480","THUMPD2"
"481","SLC30A1"
"482","LINC00116"
"483","TKT"
"484","RNASEL"
